reporter-kerneloops,22896,Feb,22
reporter-mailx,14656,Feb,22
reporter-print,13528,Feb,22
reporter-rhtsupport,40272,Feb,22
reporter-upload,26744,Feb,22
reposync,13626,Jun,22
repotrack,8740,Jun,22
reset,4,Apr,23
resizecons,19520,Nov,11
resolveip,1382024,Dec,7
resolve_stack_dump,1385528,Dec,7
rev,10168,Feb,22
rftp,8803,Apr,5
rgb2ycbcr,16072,Dec,18
rhgb-client,18,Apr,23
rlogin-cwd,415,Apr,5
rmail,27,Apr,23
rmail.postfix,262,Dec,3
rmic,39,Apr,23
rmid,39,Apr,23
rmiregistry,46,Apr,23
rnano,15,Apr,23
rngtest,16848,Dec,17
rpcgen,95704,Feb,21
rpm2cpio,16040,Feb,21
rpmdb,13,Apr,23
rpmquery,13,Apr,23
rpmsign,13,Apr,23
rpmverify,13,Apr,23
rsvg,2500,Feb,24
rsvg-convert,28896,Feb,24
rsvg-view,44080,Feb,24
rsync,415000,Apr,11
runcon,31888,Jun,22
run-parts,1411,Sep,26
rvim,3,Apr,23
s2p,53325,Feb,21
sadf,111496,Jun,22
sar,81192,Jun,22
saytime,5896,Nov,11
schemagen,44,Apr,23
scl,15640,Feb,21
scl_enabled,258,Feb,21
scp,59456,Feb,21
script,16632,Feb,22
scriptreplay,11176,Feb,22
scrollkeeper-config,16,Apr,23
scrollkeeper-extract,17,Apr,23
scrollkeeper-gen-seriesid,18,Apr,23
scrollkeeper-get-cl,16,Apr,23
scrollkeeper-get-content-list,26,Apr,23
scrollkeeper-get-extended-content-list,35,Apr,23
scrollkeeper-get-index-from-docpath,21,Apr,23
scrollkeeper-get-toc-from-docpath,21,Apr,23
scrollkeeper-get-toc-from-id,21,Apr,23
scrollkeeper-install,17,Apr,23
